class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,2
null,null,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,sentimentale,usa,0
good_rating,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,4
null,null,low_rating,low_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,spionaggio,italia,5
low_rating,nice_rating,nice_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,italia,7
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,4
null,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,thriller,italia,0
low_rating,good_rating,low_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,avventura,italia,2
low_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,7
good_rating,null,null,nice_rating,low_rating,durataMedia,nuovo,good_rating,documentario,usa,4
null,nice_rating,low_rating,good_rating,null,cortometraggio,vecchio,good_rating,horror,usa,7
low_rating,null,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
null,nice_rating,nice_rating,top_rating,null,durataMedia,nuovo,good_rating,azione,usa,7
null,low_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,catastrofico,usa,2
null,low_rating,low_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,nice_rating,nice_rating,nice_rating,null,durataMedia,vecchio,nice_rating,drammatico,usa,7
good_rating,good_rating,good_rating,nice_rating,top_rating,durataMedia,vecchio,top_rating,commedia,usa,3
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,avventura,italia,4
low_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,vecchio,nice_rating,thriller,usa,1
null,null,low_rating,good_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,low_rating,nice_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,3
null,low_rating,null,good_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,nice_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,western,usa,4
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,italia,4
null,nice_rating,low_rating,nice_rating,null,durataMedia,nuovo,nice_rating,thriller,usa,1
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,null,low_rating,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
