filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
3,anni_tra_una_settimana,1991,drammatico,98,italia,luigi_perelli,kim_rossi_stuart,6.5,0,2,0,2,0
17,ride_a_wild_pony,1976,sentimentale,91,usa,don_chaffey,michael_craig,5.6,1,2,1,0,0
18,diner,1982,commedia,95,usa,barry_levinson,mickey_rourke,7.0,2,2,0,1,2
20,a_che_servono_questi_quattrini,1942,commedia,85,italia,esodo_pratelli,eduardo_de_filippo,5.9,3,1,1,0,0
21,the_uranian_conspiracy,1978,spionaggio,117,italia,gianfranco_baldanello,fabio_testi,4.8,1,2,0,2,0
22,a_ciascuno_il_suo,1967,drammatico,93,italia,elio_petri,gian_maria_volonte,7.6,0,2,3,3,1
23,deadbang,1989,poliziesco,109,usa,john_frankenheimer,don_johnson,6.0,0,2,0,2,1
24,a_come_assassino,1966,thriller,80,italia,ray_morrison_angelo_dorigo,alan_steel,5.5,1,2,0,1,0
26,at_close_range,1986,drammatico,115,usa,james_foley,christopher_walken,7.5,0,2,1,2,1
30,a_ghentar_si_muore_facile,1968,avventura,101,italia,leon_klimovsky,george_hilton,4.8,0,2,0,1,0
32,sleeping_with_the_enemy,1990,drammatico,96,usa,joseph_ruben,julia_roberts,5.0,1,3,2,3,1
34,in_bed_with_madonna,1990,documentario,111,usa,alek_keshishian,madonna,5.3,1,3,0,0,2
36,bowery_at_midnight,1942,horror,62,usa,wallace_fox,bela_lugosi,5.1,0,2,1,3,0
37,a_mezzanotte_va_la_ronda_del_piacere,1975,commedia,100,italia,marcello_fondato,claudia_cardinale,5.8,2,2,0,0,1
38,mr_majestyk,1974,azione,105,usa,richard_fleischer,charles_bronson,6.2,0,4,3,3,0
45,warning_sign,1985,catastrofico,99,usa,hal_barwood,sam_waterston,4.8,0,2,1,1,0
47,about_last_night,1986,commedia,113,usa,edward_zwick,rob_lowe,5.9,2,3,1,1,0
49,failsafe,1964,drammatico,110,usa,sidney_lumet,henry_fonda,8.3,0,3,3,3,0
51,some_like_it_hot,1959,commedia,120,usa,billy_wilder,tony_curtis,9.1,4,3,2,2,2
53,a_qualsiasi_prezzo,1968,avventura,94,italia,emilio_miraglia,walter_pidgeon,3.7,1,2,0,1,1
54,johnny_oclock,1947,thriller,95,usa,robert_rossen,dick_powell,7.7,1,3,1,3,1
55,back_to_school,1986,commedia,100,usa,alan_metter,rodney_dangerfield,6.5,3,2,1,0,0
58,driving_miss_daisy,1989,commedia,100,usa,bruce_beresford,jessica_tandy,7.0,2,2,3,1,0
59,enid_is_sleeping,1989,commedia,102,usa,maurice_phillips,elizabeth_perkins,7.0,3,2,0,1,0
61,the_appaloosa,1966,western,98,usa,sidney_j_furie,marlon_brando,6.9,0,2,1,3,1
63,a_tutte_le_auto_della_polizia,1975,poliziesco,100,italia,mario_caiano,antonio_sabato,5.7,0,2,0,2,1
67,youll_like_my_mother,1973,thriller,94,usa,lamont_johnson,patty_duke,7.8,0,3,1,3,0
68,abbasso_la_miseria,1945,commedia,90,italia,gennaro_righelli,anna_magnani,6.1,2,2,0,0,0
69,abbasso_la_ricchezza,1946,commedia,93,italia,gennaro_righelli,anna_magnani,5.6,2,2,1,0,0
71,charlie_muffin,1979,spionaggio,109,gran_bretagna,jack_gold,david_hemmings,6.2,1,2,1,3,0
73,abbronzatissimi,1991,commedia,114,italia,bruno_gaburro,jerry_cala,3.2,2,1,0,0,1
74,the_deep,1977,avventura,130,usa,peter_yates,nick_nolte,5.3,1,2,1,2,1
77,abe_lincoln_in_illinois,1940,biografico,110,usa,john_cromwell,raymond_massey,6.3,0,1,1,1,0
78,absolute_beginners,1986,musicale,100,gran_bretagna,julien_temple,patsy_kensit,6.3,1,2,0,2,1
79,the_abyss,1989,fantasy,138,usa,james_cameron,ed_harris,7.2,0,3,0,3,0
80,acapulco_prima_spiaggia_a_sinistra,1983,commedia,88,italia,sergio_martino,gigi_sammarchi,4.2,3,2,1,1,2
82,accadde_a_damasco,1943,commedia,88,italia,jose_lopez_rubio,paola_barbara,3.5,1,1,0,2,1
83,accadde_al_penitenziario,1955,commedia,95,italia,giorgio_bianchi,aldo_fabrizi,5.5,2,2,1,1,0
87,made_in_heaven,1987,sentimentale,102,usa,alan_rudolph,timothy_hutton,5.6,2,2,0,1,1
88,september_affair,1950,commedia,104,usa,william_dieterle,joan_fontaine,6.7,2,0,0,0,0
89,it_happened_one_night,1934,commedia,108,usa,frank_capra,clark_gable,8.5,3,3,1,2,1
92,accattone,1961,drammatico,120,italia,pier_paolo_pasolini,franco_citti,8.4,1,3,3,3,2
94,arret_sur_image,1987,drammatico,77,francia,christine_allen,valerie_dumas,4.5,0,1,1,0,2
95,achtung_banditi,1951,guerra,100,italia,carlo_lizzani,gina_lollobrigida,7.0,0,2,4,2,0
97,water,1985,grottesco,97,gran_bretagna,dick_clement,michael_caine,6.9,2,3,0,1,0
100,acque_di_primavera,1942,drammatico,80,italia,nunzio_malasomma,gino_cervi,5.6,0,2,0,0,0
101,action_jackson,1988,poliziesco,97,usa,craig_r_baxley,carl_weathers,5.2,0,3,0,2,0
104,mail_order_bride,1963,western,90,usa,burt_kennedy,buddy_ebsen,6.1,1,2,0,1,0
105,ad_ovest_di_paperino,1982,commedia,95,italia,alessandro_benvenuti,alessandro_benvenuti,6.1,2,2,1,0,0
107,ada,1961,drammatico,109,usa,daniel_mann,susan_hayward,6.3,0,2,1,2,0
108,adamo_ed_eva,1949,commedia,90,italia,mario_mattoli,erminio_macario,5.0,3,1,0,0,0
